Capitolo 4 -  Dati retrospettivi ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Tavola 4.1 - Incidenti stradali, morti e feriti - Anni 1986-2018;;;;;;;;;
;;;;;;;;;
ANNI;Totale incidenti;;;;di cui mortali;;;;
;Incidenti;Morti;Feriti;;Incidenti;Morti;Feriti;;
;;;;;;;;;
1986; 155.427 ; 7.076 ; 213.159 ;; 6.330 ; 7.076 ; 5.355 ;;
1987; 158.208 ; 6.784 ; 217.511 ;; 6.065 ; 6.784 ; 5.059 ;;
1988; 166.033 ; 6.939 ; 228.186 ;; 6.273 ; 6.939 ; 5.289 ;;
1989; 160.828 ; 6.410 ; 216.329 ;; 5.766 ; 6.410 ; 4.669 ;;
1990; 161.782 ; 6.621 ; 221.024 ;; 5.880 ; 6.621 ; 4.866 ;;
1991; 170.702 ; 7.498 ; 240.688 ;; 6.633 ; 7.498 ; 5.944 ;;
1992; 170.814 ; 7.434 ; 241.094 ;; 6.578 ; 7.434 ; 5.771 ;;
1993; 153.393 ; 6.645 ; 216.100 ;; 5.893 ; 6.645 ; 5.171 ;;
1994; 170.679 ; 6.578 ; 239.184 ;; 5.924 ; 6.578 ; 4.857 ;;
1995; 182.761 ; 6.512 ; 259.571 ;; 5.819 ; 6.512 ; 5.200 ;;
1996; 190.068 ; 6.193 ; 272.115 ;; 5.590 ; 6.193 ; 4.879 ;;
1997; 190.031 ; 6.226 ; 270.962 ;; 5.605 ; 6.226 ; 4.837 ;;
1998; 204.615 ; 6.342 ; 293.842 ;; 5.788 ; 6.342 ; 5.283 ;;
1999; 225.646 ; 6.688 ; 322.999 ;; 6.022 ; 6.688 ; 5.241 ;;
2000; 256.546 ; 7.061 ; 360.013 ;; 6.435 ; 7.061 ; 5.342 ;;
2001; 263.100 ; 7.096 ; 373.286 ;; 6.455 ; 7.096 ; 5.449 ;;
2002; 265.402 ; 6.980 ; 378.492 ;; 6.332 ; 6.980 ; 5.255 ;;
2003; 252.271 ; 6.563 ; 356.475 ;; 5.929 ; 6.563 ; 5.129 ;;
2004; 243.490 ; 6.122 ; 343.179 ;; 5.548 ; 6.122 ; 4.710 ;;
2005; 240.011 ; 5.818 ; 334.858 ;; 5.271 ; 5.818 ; 4.096 ;;
2006; 238.124 ; 5.669 ; 332.955 ;; 5.178 ; 5.669 ; 4.189 ;;
2007; 230.871 ; 5.131 ; 325.850 ;; 4.718 ; 5.131 ; 3.741 ;;
2008; 218.963 ; 4.725 ; 310.745 ;; 4.358 ; 4.725 ; 3.373 ;;
2009; 215.405 ; 4.237 ; 307.258 ;; 3.973 ; 4.237 ; 3.032 ;;
2010; 212.997 ; 4.114 ; 304.720 ;; 3.871 ; 4.114 ; 2.975 ;;
2011; 205.638 ; 3.860 ; 292.019 ;; 3.616 ; 3.860 ; 2.609 ;;
2012; 188.228 ; 3.753 ; 266.864 ;; 3.515 ; 3.753 ; 2.672 ;;
2013; 181.660 ; 3.401 ; 258.093 ;; 3.161 ; 3.401 ; 2.274 ;;
2014; 177.031 ; 3.381 ; 251.147 ;; 3.175 ; 3.381 ; 2.355 ;;
2015; 174.539 ; 3.428 ; 246.920 ;; 3.236 ; 3.428 ; 2.273 ;;
2016; 175.791 ; 3.283 ; 249.175 ;; 3.105 ; 3.283 ; 2.242 ;;
2017; 174.933 ; 3.378 ; 246.750 ;; 3.178 ; 3.378 ; 2.281 ;;
2018; 172.553 ; 3.334 ; 242.919 ;; 3.086 ; 3.334 ; 2.208 ;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
